Id,Age,GrLivArea,LotFrontage,LotArea,Fence,2ndFloor,Basement,Garage,target
87.0,4.0,1560.0,122.0,11911.0,False,True,True,True,174000.0
88.0,0.0,1224.0,40.0,3951.0,False,True,True,True,164500.0
90.0,13.0,990.0,60.0,8070.0,False,False,True,False,123600.0
91.0,56.0,1040.0,60.0,7200.0,False,False,False,True,109900.0
93.0,88.0,964.0,80.0,13360.0,False,False,True,True,163500.0
95.0,10.0,1786.0,69.0,9337.0,False,True,True,True,204750.0
96.0,16.0,1470.0,,9765.0,False,True,True,True,185000.0
97.0,7.0,1588.0,78.0,10264.0,False,False,True,True,214000.0
98.0,42.0,960.0,73.0,10921.0,False,False,True,True,94750.0
100.0,51.0,1225.0,77.0,9320.0,False,False,True,False,128950.0
101.0,33.0,1610.0,,10603.0,False,False,True,True,205000.0
102.0,25.0,1732.0,77.0,9206.0,False,True,True,True,178000.0
103.0,30.0,1535.0,64.0,7018.0,False,False,False,True,118964.0
104.0,1.0,1226.0,94.0,10402.0,False,False,True,True,198900.0
105.0,76.0,1818.0,,7758.0,False,True,True,True,169500.0
106.0,5.0,1992.0,75.0,9375.0,False,True,True,True,250000.0
107.0,122.0,1047.0,60.0,10800.0,False,False,True,True,100000.0
108.0,60.0,789.0,50.0,6000.0,False,False,True,True,115000.0
109.0,88.0,1517.0,85.0,8500.0,False,True,True,False,115000.0
110.0,33.0,1844.0,105.0,11751.0,True,False,True,True,190000.0
111.0,52.0,1855.0,75.0,9525.0,False,True,True,True,136900.0
112.0,10.0,1430.0,,7750.0,False,True,True,True,180000.0
113.0,0.0,2696.0,77.0,9965.0,False,True,True,True,383970.0
115.0,62.0,2320.0,61.0,7259.0,True,True,True,True,259500.0
116.0,8.0,1458.0,34.0,3230.0,False,True,True,True,176000.0
117.0,47.0,1092.0,,11616.0,False,False,True,True,139000.0
118.0,1.0,1125.0,74.0,8536.0,False,False,True,True,155000.0
119.0,20.0,3222.0,90.0,12376.0,False,True,True,True,320000.0
120.0,1.0,1456.0,65.0,8461.0,False,True,True,True,163990.0
121.0,37.0,988.0,,21453.0,False,False,True,True,180000.0
122.0,68.0,1123.0,50.0,6060.0,True,True,True,True,100000.0
123.0,50.0,1080.0,75.0,9464.0,False,False,True,True,136000.0
124.0,15.0,1199.0,55.0,7892.0,False,False,True,True,153900.0
125.0,30.0,1586.0,48.0,17043.0,False,False,True,True,181000.0
126.0,71.0,754.0,60.0,6780.0,False,False,True,False,84500.0
127.0,31.0,958.0,,4928.0,False,False,True,True,128000.0
128.0,77.0,840.0,55.0,4388.0,False,False,True,False,87000.0
129.0,40.0,1348.0,69.0,7590.0,False,True,True,True,155000.0
131.0,40.0,2157.0,88.0,14200.0,True,True,True,True,226000.0
132.0,9.0,2054.0,,12224.0,False,True,True,True,244000.0
133.0,48.0,1327.0,75.0,7388.0,False,False,True,True,150750.0
134.0,8.0,1296.0,,6853.0,False,False,True,True,220000.0
135.0,38.0,1721.0,78.0,10335.0,True,False,True,True,180000.0
136.0,38.0,1682.0,80.0,10400.0,True,False,True,True,174000.0
137.0,40.0,1214.0,,10355.0,False,False,True,True,143000.0
139.0,9.0,1852.0,73.0,9066.0,True,True,True,True,230000.0
140.0,12.0,1764.0,65.0,15426.0,True,True,True,True,231500.0
141.0,39.0,864.0,70.0,10500.0,False,False,True,False,115000.0
142.0,1.0,1734.0,78.0,11645.0,False,False,True,True,260000.0
143.0,58.0,1385.0,71.0,8520.0,True,True,True,True,166000.0
144.0,10.0,1501.0,78.0,10335.0,False,False,True,True,204000.0
146.0,2.0,1709.0,24.0,2522.0,False,True,True,True,130000.0
147.0,78.0,875.0,51.0,6120.0,False,False,True,True,105000.0
148.0,9.0,2035.0,,9505.0,False,True,True,True,222500.0
149.0,4.0,1080.0,63.0,7500.0,False,False,True,False,141000.0
150.0,70.0,1344.0,,6240.0,False,True,True,True,115000.0
151.0,32.0,969.0,120.0,10356.0,True,False,True,True,122000.0
152.0,1.0,1710.0,107.0,13891.0,False,False,True,True,372402.0
153.0,35.0,1993.0,,14803.0,True,True,True,True,190000.0
154.0,48.0,1252.0,,13500.0,False,False,True,True,235000.0
156.0,84.0,1096.0,60.0,9600.0,False,True,True,False,79000.0
157.0,56.0,1040.0,60.0,7200.0,False,False,False,True,109500.0
158.0,1.0,1968.0,92.0,12003.0,False,True,True,True,269500.0
159.0,6.0,1947.0,100.0,12552.0,True,True,True,True,254900.0
160.0,1.0,2462.0,134.0,19378.0,False,True,True,True,320000.0
161.0,24.0,1232.0,,11120.0,False,False,True,True,162500.0
162.0,5.0,2668.0,110.0,13688.0,False,True,True,True,412500.0
163.0,5.0,1541.0,95.0,12182.0,False,False,True,True,220000.0
164.0,51.0,882.0,55.0,5500.0,True,False,True,False,103200.0
165.0,81.0,1616.0,40.0,5400.0,False,True,True,True,152000.0
166.0,68.0,1355.0,62.0,10106.0,False,True,True,False,127500.0
167.0,54.0,1867.0,,10708.0,True,False,True,True,190000.0
168.0,0.0,2161.0,86.0,10562.0,False,True,True,True,325624.0
169.0,3.0,1720.0,62.0,8244.0,False,True,True,True,183500.0
170.0,25.0,1707.0,,16669.0,False,False,True,True,228000.0
171.0,66.0,1382.0,,12358.0,False,False,True,True,128500.0
172.0,50.0,1656.0,141.0,31770.0,False,False,True,True,215000.0
173.0,19.0,1767.0,44.0,5306.0,False,True,True,True,239000.0
174.0,47.0,1362.0,80.0,10197.0,False,False,True,True,163000.0
175.0,22.0,1651.0,47.0,12416.0,False,False,True,True,184000.0
176.0,57.0,2158.0,84.0,12615.0,True,False,True,True,243000.0
177.0,19.0,2060.0,97.0,10029.0,False,True,True,True,211000.0
178.0,48.0,1920.0,,13650.0,False,True,True,True,172500.0
179.0,1.0,2234.0,63.0,17423.0,False,False,True,True,501837.0
180.0,84.0,968.0,60.0,8520.0,False,False,True,True,100000.0
181.0,7.0,1525.0,,2117.0,False,True,True,True,177000.0
182.0,86.0,1802.0,54.0,7588.0,False,True,True,True,200100.0
183.0,50.0,1340.0,60.0,9060.0,True,False,False,True,120000.0
184.0,5.0,2082.0,63.0,11426.0,False,True,True,True,200000.0
185.0,98.0,1252.0,92.0,7438.0,True,True,True,True,127000.0
186.0,114.0,3608.0,90.0,22950.0,True,True,True,True,475000.0
187.0,19.0,1217.0,,9947.0,True,False,True,True,173000.0
188.0,93.0,1656.0,60.0,10410.0,True,True,True,True,135000.0
189.0,30.0,1224.0,64.0,7018.0,False,False,True,True,153337.0
190.0,7.0,1593.0,41.0,4923.0,False,False,True,True,286000.0
191.0,75.0,2727.0,70.0,10570.0,False,True,True,True,315000.0
192.0,35.0,1479.0,,7472.0,False,True,True,True,184000.0
193.0,10.0,1431.0,68.0,9017.0,False,False,True,True,192000.0
194.0,2.0,1709.0,24.0,2522.0,False,True,True,True,130000.0
195.0,36.0,864.0,60.0,7180.0,False,False,True,True,127000.0
196.0,33.0,1456.0,24.0,2280.0,False,True,True,True,148500.0
197.0,0.0,1726.0,79.0,9416.0,False,False,True,True,311872.0
200.0,5.0,1713.0,76.0,9591.0,False,False,True,True,274900.0
201.0,7.0,1121.0,80.0,8546.0,False,False,True,True,140000.0
202.0,31.0,1279.0,75.0,10125.0,True,False,True,True,171500.0
203.0,82.0,1310.0,50.0,7000.0,False,True,True,True,112000.0
204.0,4.0,848.0,,4438.0,False,False,True,True,149000.0
205.0,62.0,1284.0,50.0,3500.0,True,True,True,True,110000.0
206.0,19.0,1442.0,99.0,11851.0,False,False,True,True,180500.0
207.0,45.0,1696.0,40.0,13673.0,False,False,True,True,143900.0
208.0,48.0,1100.0,,12493.0,True,False,True,True,141000.0
209.0,19.0,2062.0,,14364.0,False,True,True,True,277000.0
210.0,44.0,1092.0,75.0,8250.0,True,False,True,True,145000.0
211.0,83.0,864.0,67.0,5604.0,False,False,True,False,98000.0
212.0,1.0,1212.0,83.0,10420.0,False,False,True,True,186000.0
213.0,0.0,1852.0,72.0,8640.0,False,True,True,True,252678.0
214.0,11.0,990.0,43.0,13568.0,False,False,True,True,156000.0
215.0,33.0,1392.0,,10900.0,True,True,True,True,161750.0
216.0,49.0,1236.0,72.0,10011.0,True,False,True,True,134450.0
217.0,4.0,1436.0,65.0,8450.0,False,False,True,True,210000.0
219.0,69.0,1954.0,,15660.0,False,True,True,True,311500.0
220.0,1.0,1248.0,43.0,3010.0,False,False,True,True,167240.0
221.0,0.0,1498.0,73.0,8990.0,False,False,True,True,204900.0
222.0,7.0,2267.0,,8068.0,False,True,True,True,200000.0
223.0,31.0,1552.0,85.0,11475.0,True,True,True,True,179900.0
225.0,6.0,2392.0,103.0,13472.0,False,False,True,True,386250.0
228.0,38.0,987.0,21.0,1869.0,False,True,True,True,106000.0
229.0,43.0,912.0,70.0,8521.0,True,False,True,True,125000.0
230.0,4.0,1555.0,43.0,3182.0,False,False,True,True,192500.0
231.0,51.0,1194.0,73.0,8760.0,False,False,True,True,148000.0
232.0,14.0,2794.0,174.0,15138.0,False,True,True,True,403000.0
233.0,34.0,987.0,21.0,1680.0,False,True,True,True,94500.0
234.0,34.0,894.0,75.0,10650.0,True,False,True,True,128200.0
235.0,8.0,1960.0,,7851.0,False,True,True,True,216500.0
236.0,37.0,987.0,21.0,1680.0,False,True,True,True,89500.0
237.0,6.0,1414.0,65.0,8773.0,False,False,True,True,185500.0
238.0,17.0,1744.0,,9453.0,False,True,True,True,194500.0
239.0,0.0,1694.0,93.0,12030.0,False,False,True,True,318000.0
240.0,65.0,1487.0,52.0,8741.0,True,True,True,True,113000.0
241.0,2.0,1566.0,75.0,9000.0,False,False,True,True,262500.0
242.0,62.0,866.0,40.0,3880.0,False,False,True,False,110500.0
243.0,106.0,1440.0,63.0,5000.0,False,True,True,True,79000.0
244.0,29.0,1217.0,75.0,10762.0,False,True,True,True,120000.0
245.0,16.0,2110.0,,8880.0,False,True,True,True,205000.0
246.0,18.0,1872.0,80.0,10400.0,False,False,True,True,241500.0
247.0,96.0,1928.0,69.0,9142.0,False,True,True,True,137000.0
248.0,52.0,1375.0,75.0,11310.0,False,False,True,True,140000.0
249.0,4.0,1668.0,72.0,11317.0,False,True,True,True,180000.0
250.0,49.0,2144.0,,159000.0,False,True,True,True,277000.0
251.0,70.0,1306.0,55.0,5350.0,True,False,True,False,76500.0
253.0,4.0,1640.0,65.0,8366.0,False,True,True,True,173000.0
254.0,43.0,1302.0,85.0,9350.0,True,False,True,True,158000.0
255.0,53.0,1314.0,70.0,8400.0,False,False,True,True,145000.0
256.0,7.0,2291.0,66.0,8738.0,False,True,True,True,230000.0
257.0,5.0,1728.0,64.0,8791.0,False,True,True,True,207500.0
259.0,7.0,1792.0,80.0,12435.0,False,True,True,True,231500.0
260.0,52.0,882.0,70.0,12702.0,False,False,False,True,97000.0
261.0,47.0,1382.0,120.0,19296.0,True,False,True,True,176000.0
262.0,0.0,2574.0,69.0,9588.0,False,True,True,True,276000.0
263.0,29.0,1212.0,88.0,8471.0,True,False,True,True,151000.0
264.0,81.0,1316.0,50.0,5500.0,False,False,True,True,130000.0
265.0,83.0,764.0,30.0,5232.0,False,False,True,True,73000.0
266.0,27.0,1422.0,78.0,12090.0,True,False,True,True,175500.0
267.0,9.0,1511.0,70.0,11207.0,False,True,True,True,185000.0
268.0,69.0,2192.0,60.0,8400.0,False,True,True,True,179500.0
269.0,68.0,778.0,71.0,6900.0,False,False,True,True,120500.0
270.0,31.0,1113.0,,7917.0,True,False,True,True,148000.0
271.0,0.0,1939.0,84.0,10728.0,False,True,True,True,266000.0
272.0,54.0,1363.0,73.0,39104.0,False,False,True,True,241500.0
273.0,11.0,2270.0,92.0,11764.0,False,True,True,True,290000.0
274.0,51.0,1632.0,80.0,9600.0,True,False,True,True,139000.0
275.0,25.0,816.0,76.0,8314.0,False,False,True,True,124500.0
276.0,84.0,1548.0,55.0,7264.0,False,True,True,True,205000.0
277.0,7.0,1560.0,129.0,9196.0,False,False,True,True,201000.0
278.0,59.0,864.0,140.0,19138.0,False,False,True,True,141000.0
279.0,1.0,2121.0,107.0,14450.0,False,False,True,True,415298.0
280.0,31.0,2022.0,83.0,10005.0,False,True,True,True,192000.0
281.0,18.0,1982.0,82.0,11287.0,False,True,True,True,228500.0
282.0,0.0,1262.0,60.0,7200.0,False,False,True,True,185000.0
283.0,2.0,1314.0,34.0,5063.0,False,False,True,True,207500.0
284.0,1.0,1468.0,74.0,9612.0,False,False,True,True,244600.0
285.0,15.0,1575.0,50.0,8012.0,False,False,True,True,179200.0
286.0,1.0,1250.0,35.0,4251.0,False,True,True,True,164700.0
287.0,44.0,1734.0,77.0,9786.0,True,True,True,True,159000.0
288.0,35.0,858.0,,8125.0,False,False,True,False,88000.0
289.0,43.0,900.0,,9819.0,True,False,True,True,122000.0
290.0,92.0,1396.0,60.0,8730.0,False,True,True,True,153575.0
291.0,0.0,1919.0,120.0,15611.0,False,True,True,True,233230.0
292.0,96.0,1716.0,55.0,5687.0,False,True,True,False,135900.0
293.0,60.0,1716.0,60.0,11409.0,False,True,True,True,131000.0
294.0,29.0,2263.0,,16659.0,False,True,True,True,235000.0
295.0,56.0,1644.0,80.0,9600.0,False,False,True,True,167000.0
296.0,22.0,1003.0,37.0,7937.0,True,False,True,True,142500.0
297.0,57.0,1558.0,75.0,13710.0,True,True,True,True,152000.0
298.0,10.0,1950.0,66.0,7399.0,False,True,True,True,239000.0
299.0,39.0,1743.0,90.0,11700.0,False,True,True,True,175000.0
301.0,53.0,1336.0,90.0,15750.0,False,False,True,True,157000.0
302.0,9.0,2452.0,66.0,16226.0,False,True,True,True,267000.0
303.0,5.0,1541.0,118.0,13704.0,False,False,True,True,205000.0
305.0,128.0,3493.0,87.0,18386.0,False,True,True,True,295000.0
306.0,3.0,2000.0,80.0,10386.0,False,False,True,True,305900.0
307.0,17.0,2243.0,116.0,13474.0,False,True,True,True,225000.0
308.0,88.0,1406.0,,7920.0,True,True,True,False,89500.0
309.0,69.0,861.0,,12342.0,False,False,True,True,82500.0
310.0,3.0,1944.0,90.0,12378.0,False,False,True,True,360000.0
311.0,13.0,1501.0,,7685.0,False,True,True,True,165600.0
312.0,61.0,972.0,50.0,8000.0,False,False,True,True,132000.0
313.0,67.0,1118.0,65.0,7800.0,True,True,True,True,119900.0
314.0,44.0,2036.0,150.0,215245.0,False,False,True,True,375000.0
315.0,81.0,1641.0,60.0,9600.0,False,True,True,True,178000.0
316.0,5.0,1432.0,71.0,7795.0,False,True,True,True,188500.0
317.0,29.0,2353.0,94.0,13005.0,True,True,True,True,260000.0
318.0,1.0,1959.0,75.0,9000.0,False,True,True,True,270000.0
319.0,16.0,2646.0,90.0,9900.0,False,True,True,True,260000.0
320.0,29.0,1472.0,,14115.0,False,False,True,True,187500.0
321.0,0.0,2596.0,111.0,16259.0,False,True,True,True,342643.0
322.0,3.0,2468.0,99.0,12099.0,False,True,True,True,354000.0
323.0,21.0,2730.0,86.0,10380.0,True,True,True,True,301000.0
324.0,51.0,1163.0,49.0,5820.0,False,False,True,True,126175.0
325.0,43.0,2978.0,96.0,11275.0,False,True,True,True,242000.0
326.0,66.0,803.0,50.0,5000.0,False,False,True,True,87000.0
327.0,15.0,1719.0,32.0,10846.0,False,False,True,True,324000.0
328.0,46.0,1383.0,80.0,11600.0,False,False,True,True,145250.0
329.0,93.0,2134.0,,11888.0,False,True,True,True,214500.0
330.0,89.0,1192.0,60.0,6402.0,True,True,True,True,78000.0
331.0,43.0,1728.0,,10624.0,False,False,True,True,119000.0
332.0,49.0,1056.0,70.0,8176.0,False,False,True,True,139000.0
333.0,6.0,1629.0,85.0,10655.0,False,False,True,True,284000.0
334.0,4.0,1358.0,59.0,8198.0,False,False,True,True,207000.0
335.0,10.0,1638.0,59.0,9042.0,False,True,True,True,192000.0
336.0,43.0,1786.0,,164660.0,False,True,True,True,228950.0
337.0,2.0,1922.0,86.0,14157.0,False,False,True,True,377426.0
338.0,6.0,1536.0,70.0,9135.0,False,False,True,True,214000.0
339.0,22.0,1621.0,91.0,14145.0,False,False,True,True,202500.0
340.0,51.0,1215.0,66.0,12400.0,False,False,True,True,155000.0
341.0,8.0,1908.0,85.0,14191.0,False,True,True,True,202900.0
342.0,59.0,841.0,60.0,8400.0,False,False,True,True,82000.0
343.0,57.0,1040.0,,8544.0,False,False,False,True,87500.0
344.0,3.0,1684.0,63.0,8849.0,False,False,True,True,266000.0
345.0,34.0,1112.0,36.0,2592.0,False,True,True,True,85000.0
346.0,67.0,1577.0,65.0,6435.0,False,True,True,True,140200.0
347.0,47.0,958.0,,12772.0,False,False,True,True,151500.0
348.0,49.0,1478.0,,17600.0,False,False,True,True,157500.0
349.0,5.0,1626.0,36.0,2448.0,False,True,True,True,154000.0
350.0,1.0,2728.0,56.0,20431.0,False,True,True,True,437154.0
351.0,0.0,1869.0,68.0,7820.0,False,False,True,True,318061.0
353.0,67.0,1111.0,60.0,9084.0,False,True,True,True,95000.0
354.0,82.0,720.0,60.0,8520.0,False,False,True,True,105900.0
355.0,66.0,1595.0,60.0,8400.0,False,True,True,True,140000.0
356.0,12.0,1200.0,105.0,11249.0,False,False,True,True,177500.0
357.0,17.0,1167.0,,9248.0,False,False,True,True,173000.0
358.0,31.0,1142.0,44.0,4224.0,True,False,True,True,134000.0
360.0,8.0,1924.0,78.0,12011.0,False,True,True,True,280000.0
361.0,29.0,912.0,,7540.0,True,False,True,True,156000.0
362.0,68.0,1505.0,,9144.0,False,True,True,True,145000.0
363.0,6.0,1922.0,64.0,7301.0,False,True,False,True,198500.0
364.0,37.0,987.0,21.0,1680.0,False,True,True,True,118000.0
365.0,30.0,1574.0,,18800.0,False,True,True,True,190000.0
366.0,89.0,1344.0,59.0,10690.0,False,True,True,True,147000.0
367.0,46.0,1394.0,,9500.0,False,False,True,True,159000.0
368.0,46.0,1431.0,101.0,9150.0,False,False,True,True,165000.0
369.0,56.0,1268.0,78.0,7800.0,False,False,True,True,132000.0
370.0,51.0,1287.0,,9830.0,False,False,True,True,162000.0
371.0,6.0,1664.0,,8121.0,False,True,True,True,172400.0
372.0,49.0,1588.0,80.0,17120.0,False,True,False,True,134432.0
373.0,26.0,752.0,50.0,7175.0,True,False,True,True,125000.0
374.0,56.0,1319.0,79.0,10634.0,True,False,True,True,123000.0
375.0,4.0,1928.0,65.0,8200.0,False,True,True,True,219500.0
376.0,87.0,904.0,,10020.0,False,False,True,False,61000.0
377.0,10.0,914.0,57.0,8846.0,False,False,True,True,148000.0
378.0,3.0,2466.0,102.0,11143.0,False,True,True,True,340000.0
379.0,0.0,1856.0,88.0,11394.0,False,False,True,True,394432.0
380.0,9.0,1800.0,60.0,8123.0,False,True,True,True,179000.0
381.0,86.0,1691.0,50.0,5000.0,False,True,True,True,127000.0
382.0,0.0,1301.0,60.0,7200.0,False,False,True,True,187750.0
383.0,1.0,1797.0,79.0,9245.0,False,True,True,True,213500.0
384.0,81.0,784.0,60.0,9000.0,False,False,True,True,76000.0
385.0,15.0,1953.0,,53107.0,False,True,True,True,240000.0
386.0,6.0,1269.0,43.0,3182.0,False,False,True,True,192000.0
387.0,96.0,1184.0,58.0,8410.0,False,True,True,False,81000.0
389.0,9.0,1479.0,93.0,9382.0,False,False,True,True,191000.0
390.0,1.0,2332.0,96.0,12474.0,False,True,True,True,426000.0
391.0,108.0,1367.0,50.0,8405.0,True,True,True,True,119000.0
392.0,8.0,1961.0,71.0,12209.0,False,True,True,True,215000.0
393.0,48.0,882.0,,8339.0,True,False,False,True,106500.0
395.0,67.0,1034.0,60.0,10134.0,False,True,True,True,109000.0
396.0,54.0,1144.0,68.0,9571.0,False,False,True,True,129000.0
397.0,37.0,894.0,60.0,7200.0,False,False,True,True,123000.0
398.0,45.0,1812.0,69.0,7590.0,False,True,True,True,169500.0
400.0,3.0,1550.0,65.0,8125.0,False,True,True,True,241000.0
401.0,12.0,1288.0,38.0,14963.0,False,False,True,True,245500.0
402.0,1.0,1310.0,65.0,8767.0,False,False,True,True,164990.0
403.0,68.0,672.0,60.0,10200.0,True,False,True,True,108000.0
405.0,12.0,1572.0,,10364.0,False,True,True,True,168000.0
406.0,33.0,1620.0,,9991.0,True,False,True,True,150000.0
407.0,72.0,1639.0,51.0,10480.0,False,False,True,True,115000.0
408.0,93.0,1680.0,63.0,15576.0,False,True,True,True,177000.0
409.0,1.0,2172.0,109.0,14154.0,False,True,True,True,280000.0
410.0,1.0,2078.0,85.0,10800.0,False,True,True,True,339750.0
412.0,51.0,1056.0,100.0,34650.0,False,False,True,True,145000.0
413.0,1.0,1478.0,,4403.0,False,False,True,True,222000.0
414.0,83.0,1028.0,56.0,8960.0,False,False,True,True,115000.0
415.0,15.0,2097.0,59.0,11228.0,False,True,True,True,228000.0
416.0,0.0,1340.0,73.0,8899.0,False,False,True,True,181134.0
417.0,28.0,1400.0,74.0,7844.0,False,True,True,True,149500.0
418.0,89.0,2624.0,86.0,22420.0,False,True,True,True,239000.0
419.0,67.0,1134.0,60.0,8160.0,False,True,True,True,126000.0
420.0,42.0,1056.0,65.0,8450.0,False,False,True,True,142000.0
421.0,11.0,1344.0,78.0,7060.0,False,False,True,True,206300.0
422.0,32.0,1602.0,,16635.0,False,False,True,True,215000.0
423.0,54.0,988.0,100.0,21750.0,False,False,True,True,113000.0
424.0,10.0,2630.0,80.0,9200.0,False,True,True,True,315000.0
425.0,52.0,1196.0,72.0,9000.0,False,False,True,True,139000.0
426.0,63.0,1389.0,60.0,3378.0,False,True,True,True,135000.0
427.0,20.0,1644.0,,12800.0,False,False,True,True,275000.0
428.0,51.0,907.0,77.0,8593.0,False,False,True,True,109008.0
429.0,0.0,1208.0,64.0,6762.0,False,False,True,True,195400.0
430.0,21.0,1412.0,130.0,11457.0,False,False,True,True,175000.0
433.0,36.0,1365.0,24.0,1920.0,False,True,True,True,122500.0
434.0,11.0,1604.0,100.0,10839.0,False,True,True,True,181000.0
435.0,36.0,630.0,21.0,1890.0,False,False,True,False,81000.0
436.0,13.0,1661.0,43.0,10667.0,False,True,True,True,212000.0
437.0,86.0,1118.0,40.0,4400.0,False,True,True,True,116000.0
438.0,83.0,904.0,50.0,6000.0,False,False,True,True,119000.0
439.0,94.0,694.0,40.0,4280.0,True,False,True,True,90350.0
440.0,89.0,1196.0,67.0,12354.0,True,True,True,True,110000.0
441.0,1.0,2402.0,105.0,15431.0,False,False,True,True,555000.0
